,date
166,20150506T000000
167,20150406T000000
168,20150203T000000
169,20150326T000000
170,20140911T000000
171,20141107T000000
172,20150408T000000
173,20140707T000000
174,20150127T000000
175,20140819T000000
176,20140522T000000
177,20140513T000000
178,20150326T000000
179,20141110T000000
180,20140708T000000
181,20140505T000000
182,20141113T000000
183,20150403T000000
184,20140717T000000
185,20141205T000000
186,20141208T000000
187,20140716T000000
188,20141120T000000
189,20150423T000000
190,20140712T000000
191,20140805T000000
192,20140514T000000
193,20140701T000000
194,20150430T000000
195,20141215T000000
196,20150423T000000
197,20150202T000000
198,20140512T000000
199,20140729T000000
200,20150420T000000
201,20150414T000000
202,20140910T000000
203,20140724T000000
204,20140613T000000
205,20150224T000000
206,20141030T000000
207,20141203T000000
208,20150121T000000
209,20150124T000000
210,20150512T000000
211,20150204T000000
212,20150327T000000
213,20140915T000000
214,20140514T000000
215,20150406T000000
216,20140917T000000
217,20150309T000000
218,20150219T000000
219,20150217T000000
220,20140926T000000
221,20150123T000000
222,20140528T000000
223,20150505T000000
224,20140910T000000
225,20150311T000000
226,20140602T000000
227,20140528T000000
228,20140912T000000
229,20150202T000000
230,20150218T000000
231,20150209T000000
232,20141016T000000
233,20140624T000000
234,20140515T000000
235,20141015T000000
236,20150331T000000
237,20140703T000000
238,20141118T000000
239,20141020T000000
240,20140926T000000
241,20150406T000000
242,20140702T000000
243,20140528T000000
244,20141211T000000
245,20150316T000000
246,20150107T000000
247,20141113T000000
248,20150507T000000
249,20141106T000000
250,20140813T000000
251,20150202T000000
252,20150203T000000
253,20141203T000000
254,20150501T000000
255,20140509T000000
256,20141208T000000
257,20140610T000000
258,20140509T000000
259,20150219T000000
260,20150421T000000
261,20150408T000000
262,20140812T000000
263,20150421T000000
264,20141010T000000
265,20150406T000000
266,20150210T000000
267,20150428T000000
268,20150422T000000
269,20140923T000000
270,20140521T000000
271,20140909T000000
272,20140505T000000
273,20140513T000000
274,20140728T000000
275,20140828T000000
276,20141208T000000
277,20150126T000000
278,20140916T000000
279,20140718T000000
280,20140814T000000
281,20140714T000000
282,20141108T000000
283,20150204T000000
284,20150409T000000
285,20140902T000000
286,20140815T000000
287,20141203T000000
288,20141021T000000
289,20141104T000000
290,20140602T000000
291,20150504T000000
292,20150212T000000
293,20140822T000000
294,20150413T000000
295,20150409T000000
296,20150217T000000
297,20150505T000000
298,20150409T000000
299,20140509T000000
300,20150427T000000
301,20140926T000000
302,20150105T000000
303,20150325T000000
304,20150423T000000
305,20141010T000000
306,20150120T000000
307,20141104T000000
308,20150305T000000
309,20140915T000000
310,20150107T000000
311,20150204T000000
312,20140515T000000
313,20140911T000000
314,20140523T000000
315,20150222T000000
316,20140911T000000
317,20140623T000000
318,20140827T000000
319,20140801T000000
320,20141203T000000
321,20150423T000000
322,20140715T000000
323,20150226T000000
324,20140628T000000
325,20141023T000000
326,20140701T000000
327,20150413T000000
328,20140904T000000
329,20141009T000000
330,20141028T000000
331,20150216T000000
332,20150324T000000
333,20140729T000000
334,20140903T000000
335,20150116T000000
336,20150330T000000
337,20140721T000000
338,20140624T000000
339,20140625T000000
340,20140520T000000
341,20140820T000000
342,20140709T000000
343,20150102T000000
344,20140725T000000
345,20140912T000000
346,20140709T000000
347,20150430T000000
348,20150107T000000
349,20140627T000000
350,20141123T000000
351,20141202T000000
352,20140703T000000
353,20141105T000000
354,20141031T000000
355,20140602T000000
356,20141009T000000
357,20140618T000000
358,20140819T000000
359,20150226T000000
360,20140820T000000
361,20141015T000000
362,20140626T000000
363,20150219T000000
364,20141111T000000
365,20150225T000000
366,20140908T000000
367,20150407T000000
368,20140620T000000
369,20140604T000000
370,20140902T000000
371,20140625T000000
372,20141222T000000
373,20141117T000000
374,20140812T000000
375,20141028T000000
376,20140812T000000
377,20140922T000000
378,20141219T000000
379,20150505T000000
380,20150116T000000
381,20141231T000000
382,20150414T000000
383,20150428T000000
384,20141028T000000
385,20140729T000000
386,20150511T000000
387,20141118T000000
388,20140718T000000
389,20140911T000000
390,20140919T000000
391,20140924T000000
392,20141016T000000
393,20141020T000000
394,20140827T000000
395,20140812T000000
396,20141022T000000
397,20150105T000000
398,20141103T000000
399,20150320T000000
400,20141223T000000
401,20150402T000000
402,20140922T000000
403,20150422T000000
404,20141008T000000
405,20140620T000000
406,20140826T000000
407,20140807T000000
408,20140718T000000
409,20141222T000000
410,20141125T000000
411,20140926T000000
412,20150108T000000
413,20140923T000000
414,20140828T000000
415,20140819T000000
416,20140701T000000
417,20150113T000000
418,20140521T000000
419,20150218T000000
420,20141120T000000
421,20140718T000000
422,20150220T000000
423,20140612T000000
424,20150226T000000
425,20141107T000000
426,20150414T000000
427,20140701T000000
428,20140507T000000
429,20141015T000000
430,20150214T000000
431,20150327T000000
432,20141215T000000
433,20141006T000000
434,20150303T000000
435,20140929T000000
436,20150203T000000
437,20141030T000000
438,20141106T000000
439,20141014T000000
440,20150416T000000
441,20150414T000000
442,20140507T000000
443,20150420T000000
444,20150407T000000
445,20141120T000000
446,20141029T000000
447,20140828T000000
448,20150204T000000
449,20140527T000000
450,20140724T000000
451,20150417T000000
452,20141030T000000
453,20140623T000000
454,20140609T000000
455,20140825T000000
456,20140530T000000
457,20140806T000000
458,20140529T000000
459,20150422T000000
460,20141121T000000
461,20140714T000000
462,20140512T000000
463,20140821T000000
464,20140918T000000
465,20150423T000000
466,20141007T000000
467,20140514T000000
468,20141001T000000
469,20141118T000000
470,20150328T000000
471,20150428T000000
472,20140630T000000
473,20140602T000000
474,20150406T000000
475,20141117T000000
476,20150115T000000
477,20150511T000000
478,20140610T000000
479,20150429T000000
480,20150206T000000
481,20150227T000000
482,20141120T000000
483,20150429T000000
484,20140805T000000
485,20141125T000000
486,20150428T000000
487,20150224T000000
488,20150409T000000
489,20150427T000000
490,20141211T000000
491,20141201T000000
492,20140507T000000
493,20150430T000000
494,20150105T000000
495,20141104T000000
496,20140620T000000
497,20140527T000000
498,20141229T000000
499,20141109T000000
500,20150512T000000
501,20141021T000000
502,20140912T000000
503,20150403T000000
504,20140521T000000
505,20141007T000000
506,20150407T000000
507,20140515T000000
508,20140616T000000
509,20150115T000000
510,20140625T000000
511,20140619T000000
512,20140714T000000
513,20150505T000000
514,20150427T000000
515,20140922T000000
516,20150429T000000
517,20150123T000000
518,20150311T000000
519,20140812T000000
520,20150220T000000
521,20140723T000000
522,20140703T000000
523,20150107T000000
524,20150416T000000
525,20141203T000000
526,20140624T000000
527,20141021T000000
528,20150210T000000
529,20150512T000000
530,20141013T000000
531,20150323T000000
532,20140724T000000
533,20140905T000000
534,20140605T000000
535,20140903T000000
536,20150225T000000
537,20150324T000000
538,20140723T000000
539,20141210T000000
540,20140506T000000
541,20140619T000000
542,20140630T000000
543,20140625T000000
544,20150408T000000
545,20150206T000000
546,20140702T000000
547,20150424T000000
548,20140626T000000
549,20141118T000000
550,20140826T000000
551,20150428T000000
552,20140721T000000
553,20140820T000000
554,20140826T000000
555,20140722T000000
556,20140820T000000
557,20141016T000000
558,20150325T000000
559,20140627T000000
560,20150304T000000
561,20150204T000000
562,20140806T000000
563,20140604T000000
564,20150130T000000
565,20150507T000000
566,20141021T000000
567,20140710T000000
568,20150506T000000
569,20150224T000000
570,20140623T000000
571,20140505T000000
572,20150218T000000
573,20140626T000000
574,20140722T000000
575,20140717T000000
576,20140620T000000
577,20141013T000000
578,20141015T000000
579,20140604T000000
580,20140710T000000
581,20141029T000000
582,20140507T000000
583,20140822T000000
584,20140627T000000
585,20150406T000000
586,20140725T000000
587,20150409T000000
588,20150402T000000
589,20140609T000000
590,20150427T000000
591,20140822T000000
592,20140805T000000
593,20150302T000000
594,20141231T000000
595,20140709T000000
596,20140522T000000
597,20150330T000000
598,20150507T000000
599,20150312T000000
600,20140813T000000
601,20150226T000000
602,20141008T000000
603,20150311T000000
604,20140508T000000
605,20141031T000000
606,20140730T000000
607,20150327T000000
608,20140625T000000
609,20140803T000000
610,20140522T000000
611,20141223T000000
612,20150414T000000
613,20140619T000000
614,20140717T000000
615,20140730T000000
616,20150223T000000
617,20140804T000000
618,20140520T000000
619,20150427T000000
620,20140611T000000
621,20150323T000000
622,20150407T000000
623,20150115T000000
624,20140521T000000
625,20140502T000000
626,20140908T000000
627,20150330T000000
628,20140601T000000
629,20150127T000000
630,20150113T000000
631,20150507T000000
632,20150422T000000
633,20150306T000000
634,20150225T000000
635,20140924T000000
636,20150427T000000
637,20140718T000000
638,20141009T000000
639,20150416T000000
640,20140505T000000
641,20140613T000000
642,20141229T000000
643,20141120T000000
644,20150122T000000
645,20150313T000000
646,20140818T000000
647,20141202T000000
648,20140602T000000
649,20141229T000000
650,20150206T000000
651,20140626T000000
652,20140915T000000
653,20141103T000000
654,20150318T000000
655,20140709T000000
656,20150211T000000
657,20150427T000000
658,20141017T000000
659,20150327T000000
660,20140729T000000
661,20150402T000000
662,20140729T000000
663,20140925T000000
664,20150311T000000
665,20140926T000000
666,20140611T000000
667,20141119T000000
668,20140915T000000
669,20140616T000000
670,20140507T000000
671,20150402T000000
672,20150423T000000
673,20140618T000000
674,20140515T000000
675,20150226T000000
676,20141229T000000
677,20140624T000000
678,20140614T000000
679,20141224T000000
680,20141125T000000
681,20140929T000000
682,20150430T000000
683,20150317T000000
684,20150123T000000
685,20140616T000000
686,20150123T000000
687,20150507T000000
688,20150317T000000
689,20140729T000000
690,20150428T000000
691,20141104T000000
692,20140719T000000
693,20140709T000000
694,20141112T000000
695,20140714T000000
696,20140804T000000
697,20140916T000000
698,20150107T000000
699,20140811T000000
700,20140509T000000
701,20141211T000000
702,20150323T000000
703,20140811T000000
704,20140604T000000
705,20150205T000000
706,20141006T000000
707,20140929T000000
708,20140831T000000
709,20150429T000000
710,20141019T000000
711,20150209T000000
712,20150508T000000
713,20150222T000000
714,20140805T000000
715,20140721T000000
716,20141210T000000
717,20140918T000000
718,20150327T000000
719,20140825T000000
720,20150105T000000
721,20150316T000000
722,20140917T000000
723,20140918T000000
724,20141224T000000
725,20140819T000000
726,20141218T000000
727,20150508T000000
728,20150120T000000
729,20141216T000000
730,20150113T000000
731,20150303T000000
732,20150430T000000
733,20150410T000000
734,20141230T000000
735,20150318T000000
736,20140620T000000
737,20140702T000000
738,20140730T000000
739,20141007T000000
740,20141021T000000
741,20150105T000000
742,20140807T000000
743,20140520T000000
744,20141029T000000
745,20150303T000000
746,20141027T000000
747,20140929T000000
748,20141112T000000
749,20150421T000000
750,20150327T000000
751,20140519T000000
752,20150226T000000
753,20140613T000000
754,20141111T000000
755,20141208T000000
756,20140918T000000
757,20150424T000000
758,20140923T000000
759,20150311T000000
760,20150323T000000
761,20140603T000000
762,20141120T000000
763,20141021T000000
764,20150114T000000
765,20140717T000000
766,20140728T000000
767,20141216T000000
768,20150306T000000
769,20140813T000000
770,20141002T000000
771,20140924T000000
772,20150330T000000
773,20140527T000000
774,20141013T000000
775,20140529T000000
776,20140714T000000
777,20150406T000000
778,20140715T000000
779,20141014T000000
780,20141024T000000
781,20150303T000000
782,20140509T000000
783,20140516T000000
784,20140618T000000
785,20150129T000000
786,20140619T000000
787,20140626T000000
788,20140731T000000
789,20141218T000000
790,20140714T000000
791,20150429T000000
792,20140815T000000
793,20141015T000000
794,20150318T000000
795,20140707T000000
796,20150422T000000
797,20150428T000000
798,20140507T000000
799,20140623T000000
800,20140710T000000
801,20141120T000000
802,20140612T000000
803,20141016T000000
804,20141104T000000
805,20150219T000000
806,20140806T000000
807,20140602T000000
808,20150122T000000
809,20140828T000000
810,20140624T000000
811,20141106T000000
812,20141215T000000
813,20140528T000000
814,20141006T000000
815,20141007T000000
816,20150313T000000
817,20140619T000000
818,20141107T000000
819,20150318T000000
820,20150213T000000
821,20140721T000000
822,20150127T000000
823,20140512T000000
824,20140708T000000
825,20140725T000000
826,20140715T000000
827,20150213T000000
828,20141007T000000
829,20150123T000000
830,20150108T000000
831,20141028T000000
832,20140822T000000
833,20140806T000000
834,20141027T000000
835,20150305T000000
836,20140922T000000
837,20140820T000000
838,20141015T000000
839,20150305T000000
840,20150416T000000
841,20150417T000000
842,20140819T000000
843,20141203T000000
844,20150115T000000
845,20140905T000000
846,20150205T000000
847,20141215T000000
848,20140826T000000
849,20141030T000000
850,20150319T000000
851,20141111T000000
852,20140701T000000
853,20140915T000000
854,20150428T000000
855,20140801T000000
856,20140528T000000
857,20141014T000000
858,20141106T000000
859,20150506T000000
860,20150123T000000
861,20140819T000000
862,20140811T000000
863,20141219T000000
864,20150223T000000
865,20140819T000000
866,20150423T000000
867,20150422T000000
868,20150317T000000
869,20150312T000000
870,20141229T000000
871,20140616T000000
872,20150329T000000
873,20140902T000000
874,20140627T000000
875,20140507T000000
876,20140812T000000
877,20140925T000000
878,20150102T000000
879,20140629T000000
880,20140724T000000
881,20140703T000000
882,20150408T000000
883,20150123T000000
884,20150319T000000
885,20141014T000000
886,20150303T000000
887,20140519T000000
888,20150422T000000
889,20141210T000000
890,20141209T000000
891,20150408T000000
892,20140528T000000
893,20150128T000000
894,20140709T000000
895,20150319T000000
896,20140512T000000
897,20140710T000000
898,20140814T000000
899,20140516T000000
900,20150224T000000
901,20140708T000000
902,20140725T000000
903,20140815T000000
904,20150303T000000
905,20150324T000000
906,20150304T000000
907,20150409T000000
908,20141119T000000
909,20150122T000000
910,20141113T000000
911,20141020T000000
912,20150420T000000
913,20140909T000000
914,20150318T000000
915,20140527T000000
916,20140620T000000
917,20150429T000000
918,20150105T000000
919,20150212T000000
920,20150512T000000
921,20140813T000000
922,20141110T000000
923,20140616T000000
924,20150408T000000
925,20150507T000000
926,20140925T000000
927,20140730T000000
928,20140917T000000
929,20141219T000000
930,20140709T000000
931,20141013T000000
932,20140610T000000
933,20140513T000000
934,20140530T000000
935,20150319T000000
936,20141001T000000
937,20140917T000000
938,20150323T000000
939,20150408T000000
940,20140820T000000
941,20140707T000000
942,20150424T000000
943,20150506T000000
944,20150317T000000
945,20141201T000000
946,20140512T000000
947,20141007T000000
948,20141006T000000
949,20141007T000000
950,20150220T000000
951,20150506T000000
952,20141229T000000
953,20150121T000000
954,20150319T000000
955,20150406T000000
956,20150324T000000
957,20141105T000000
958,20140512T000000
959,20140625T000000
960,20150112T000000
961,20141112T000000
962,20140805T000000
963,20150220T000000
964,20140716T000000
965,20140910T000000
966,20140916T000000
967,20141016T000000
968,20140716T000000
969,20150509T000000
970,20140614T000000
971,20140806T000000
972,20140915T000000
973,20150325T000000
974,20150211T000000
975,20141202T000000
976,20150415T000000
977,20140610T000000
978,20140627T000000
979,20140507T000000
980,20150325T000000
981,20141218T000000
982,20150504T000000
983,20140519T000000
984,20140828T000000
985,20140513T000000
986,20140902T000000
987,20141008T000000
988,20141029T000000
989,20141103T000000
990,20140613T000000
991,20150401T000000
992,20140619T000000
993,20140505T000000
994,20141208T000000
995,20141107T000000
996,20141024T000000
997,20150227T000000
998,20150407T000000
999,20141021T000000
1000,20141027T000000
1001,20140818T000000
1002,20140507T000000
1003,20140930T000000
1004,20150428T000000
1005,20140526T000000
1006,20141016T000000
1007,20140516T000000
1008,20150227T000000
1009,20140825T000000
1010,20150225T000000
1011,20141114T000000
1012,20150413T000000
1013,20141015T000000
1014,20140820T000000
1015,20140711T000000
1016,20140527T000000
1017,20141014T000000
1018,20140811T000000
1019,20150327T000000
1020,20140911T000000
1021,20141125T000000
1022,20150227T000000
1023,20141022T000000
1024,20141023T000000
1025,20141006T000000
1026,20150310T000000
1027,20141022T000000
1028,20150511T000000
1029,20150112T000000
1030,20141002T000000
1031,20141003T000000
1032,20140818T000000
1033,20150203T000000
1034,20150326T000000
1035,20140801T000000
1036,20141022T000000
1037,20141028T000000
1038,20141204T000000
1039,20150421T000000
1040,20140627T000000
1041,20140709T000000
1042,20140522T000000
1043,20150313T000000
1044,20140508T000000
1045,20140923T000000
1046,20150401T000000
1047,20150106T000000
1048,20150202T000000
1049,20150326T000000
1050,20140819T000000
1051,20150107T000000
1052,20140808T000000
1053,20140523T000000
1054,20150112T000000
1055,20140529T000000
1056,20140730T000000
1057,20140502T000000
1058,20141224T000000
1059,20140909T000000
1060,20140516T000000
1061,20140625T000000
1062,20141016T000000
1063,20150325T000000
1064,20140729T000000
1065,20150422T000000
1066,20140811T000000
1067,20150202T000000
1068,20140826T000000
1069,20140709T000000
1070,20140609T000000
1071,20141015T000000
1072,20141110T000000
1073,20141028T000000
1074,20150219T000000
1075,20141204T000000
1076,20141031T000000
1077,20150423T000000
1078,20141024T000000
1079,20140623T000000
1080,20141113T000000
1081,20140829T000000
1082,20150402T000000
1083,20150323T000000
1084,20150206T000000
1085,20150429T000000
1086,20150504T000000
1087,20140610T000000
1088,20140627T000000
1089,20141229T000000
1090,20150223T000000
1091,20140625T000000
1092,20150414T000000
1093,20140515T000000
1094,20140508T000000
1095,20140724T000000
1096,20140627T000000
1097,20140609T000000
1098,20140530T000000
1099,20141203T000000
1100,20140627T000000
1101,20140805T000000
1102,20140610T000000
1103,20140604T000000
1104,20141124T000000
1105,20141121T000000
1106,20141204T000000
1107,20140926T000000
1108,20150424T000000
1109,20140919T000000
1110,20140611T000000
1111,20140709T000000
1112,20140613T000000
1113,20141208T000000
1114,20141021T000000
1115,20140804T000000
1116,20140520T000000
1117,20140513T000000
1118,20141106T000000
1119,20150416T000000
1120,20140612T000000
1121,20150107T000000
1122,20140826T000000
1123,20141103T000000
1124,20140602T000000
1125,20150326T000000
1126,20141024T000000
1127,20150219T000000
1128,20140715T000000
1129,20140617T000000
1130,20140702T000000
1131,20150330T000000
1132,20140916T000000
1133,20150421T000000
1134,20150429T000000
1135,20150401T000000
1136,20140717T000000
1137,20150217T000000
1138,20141229T000000
1139,20150402T000000
1140,20140825T000000
1141,20150306T000000
1142,20140519T000000
1143,20140520T000000
1144,20150330T000000
1145,20140820T000000
1146,20140617T000000
1147,20150427T000000
1148,20140703T000000
1149,20141223T000000
1150,20141021T000000
1151,20140904T000000
1152,20150428T000000
1153,20141020T000000
1154,20140713T000000
1155,20140715T000000
1156,20150328T000000
1157,20140620T000000
1158,20150312T000000
1159,20140624T000000
1160,20150225T000000
1161,20150323T000000
1162,20150112T000000
1163,20140711T000000
1164,20150407T000000
1165,20140708T000000
1166,20140905T000000
1167,20141226T000000
1168,20141113T000000
1169,20141220T000000
1170,20141114T000000
1171,20150320T000000
1172,20140510T000000
1173,20140616T000000
1174,20140829T000000
1175,20141115T000000
1176,20140714T000000
1177,20140610T000000
1178,20140827T000000
1179,20141210T000000
1180,20140606T000000
1181,20140718T000000
1182,20150305T000000
1183,20150422T000000
1184,20141030T000000
1185,20140717T000000
1186,20141229T000000
1187,20140923T000000
1188,20141027T000000
1189,20150417T000000
1190,20140822T000000
1191,20141110T000000
1192,20140708T000000
1193,20140709T000000
1194,20140519T000000
1195,20150303T000000
1196,20150410T000000
1197,20150323T000000
1198,20150402T000000
1199,20150318T000000
1200,20141117T000000
1201,20141222T000000
1202,20150304T000000
1203,20141021T000000
1204,20140718T000000
1205,20140813T000000
1206,20150421T000000
1207,20140724T000000
1208,20150130T000000
1209,20140616T000000
1210,20140630T000000
1211,20140909T000000
1212,20150513T000000
1213,20140730T000000
1214,20150128T000000
1215,20141121T000000
1216,20140619T000000
1217,20140725T000000
1218,20150407T000000
1219,20140721T000000
1220,20140822T000000
1221,20140904T000000
1222,20141023T000000
1223,20140512T000000
1224,20141022T000000
1225,20150316T000000
1226,20140804T000000
1227,20141006T000000
1228,20141015T000000
1229,20140724T000000
1230,20140701T000000
1231,20150505T000000
1232,20140613T000000
1233,20150504T000000
1234,20150306T000000
1235,20150410T000000
1236,20140710T000000
1237,20140510T000000
1238,20140814T000000
1239,20140701T000000
1240,20140826T000000
1241,20150317T000000
1242,20141211T000000
1243,20140812T000000
1244,20141219T000000
1245,20140725T000000
1246,20150417T000000
1247,20150407T000000
1248,20140617T000000
1249,20150226T000000
1250,20140805T000000
1251,20140630T000000
1252,20150403T000000
1253,20141024T000000
1254,20150304T000000
1255,20150318T000000
1256,20140718T000000
1257,20141126T000000
1258,20150417T000000
1259,20150310T000000
1260,20141030T000000
1261,20140730T000000
1262,20140620T000000
1263,20141208T000000
1264,20140715T000000
1265,20140723T000000
1266,20140604T000000
1267,20150421T000000
1268,20140822T000000
1269,20140508T000000
1270,20140703T000000
1271,20140725T000000
1272,20140529T000000
1273,20140806T000000
1274,20140626T000000
1275,20141219T000000
1276,20150319T000000
1277,20141110T000000
1278,20140708T000000
1279,20141013T000000
1280,20150121T000000
1281,20140526T000000
1282,20140821T000000
1283,20150429T000000
1284,20150220T000000
1285,20150409T000000
1286,20140611T000000
1287,20140502T000000
1288,20140929T000000
1289,20141208T000000
1290,20140714T000000
1291,20140522T000000
1292,20140910T000000
1293,20140514T000000
1294,20140708T000000
1295,20150213T000000
1296,20150408T000000
1297,20140703T000000
1298,20140528T000000
1299,20140818T000000
1300,20150317T000000
1301,20140523T000000
1302,20140925T000000
1303,20150219T000000
1304,20150424T000000
1305,20150202T000000
1306,20150505T000000
1307,20150127T000000
1308,20150218T000000
1309,20150402T000000
1310,20150304T000000
1311,20141119T000000
1312,20150408T000000
1313,20141208T000000
1314,20140903T000000
1315,20141120T000000
1316,20140826T000000
1317,20140929T000000
1318,20141002T000000
1319,20141223T000000
1320,20150224T000000
1321,20150305T000000
1322,20140929T000000
1323,20140702T000000
1324,20150424T000000
1325,20150131T000000
1326,20141017T000000
1327,20150219T000000
1328,20140625T000000
1329,20140607T000000
1330,20140924T000000
1331,20140610T000000
1332,20140715T000000
1333,20150330T000000
1334,20150317T000000
1335,20140827T000000
1336,20140923T000000
1337,20140818T000000
1338,20140619T000000
1339,20141022T000000
1340,20140609T000000
1341,20141212T000000
1342,20150507T000000
1343,20140811T000000
1344,20150113T000000
1345,20140918T000000
1346,20140922T000000
1347,20141017T000000
1348,20140523T000000
1349,20150130T000000
1350,20141021T000000
1351,20150426T000000
1352,20150423T000000
1353,20141031T000000
1354,20150414T000000
1355,20140611T000000
1356,20150203T000000
1357,20140808T000000
1358,20140709T000000
1359,20140630T000000
1360,20150424T000000
1361,20150121T000000
1362,20140811T000000
1363,20150120T000000
1364,20141118T000000
1365,20140813T000000
1366,20141003T000000
1367,20140924T000000
1368,20140625T000000
1369,20150325T000000
1370,20150223T000000
1371,20150423T000000
1372,20140506T000000
1373,20150306T000000
1374,20150320T000000
1375,20150209T000000
1376,20140822T000000
1377,20140520T000000
1378,20141027T000000
1379,20141003T000000
1380,20150422T000000
1381,20140714T000000
1382,20141216T000000
1383,20140826T000000
1384,20140619T000000
1385,20141107T000000
1386,20140708T000000
1387,20140902T000000
1388,20140926T000000
1389,20150114T000000
1390,20140512T000000
1391,20140619T000000
1392,20140915T000000
1393,20150423T000000
1394,20141120T000000
1395,20140619T000000
1396,20140827T000000
1397,20150310T000000
1398,20140515T000000
1399,20141030T000000
1400,20140710T000000
1401,20141217T000000
1402,20140922T000000
1403,20141212T000000
1404,20140624T000000
1405,20150420T000000
1406,20140615T000000
1407,20141125T000000
1408,20150331T000000
1409,20140527T000000
1410,20140924T000000
1411,20150403T000000
1412,20150414T000000
1413,20150409T000000
1414,20150116T000000
1415,20150508T000000
1416,20150422T000000
1417,20150414T000000
1418,20140710T000000
1419,20140519T000000
1420,20140909T000000
1421,20150511T000000
1422,20140714T000000
1423,20140505T000000
1424,20140513T000000
1425,20150227T000000
1426,20150429T000000
1427,20150407T000000
1428,20140625T000000
1429,20141021T000000
1430,20140519T000000
1431,20141226T000000
1432,20140808T000000
1433,20150303T000000
1434,20150427T000000
1435,20140723T000000
1436,20140811T000000
1437,20141224T000000
1438,20140703T000000
1439,20140815T000000
1440,20140603T000000
1441,20140610T000000
1442,20141113T000000
1443,20140813T000000
1444,20150226T000000
1445,20150406T000000
1446,20140916T000000
1447,20140605T000000
1448,20140731T000000
1449,20150330T000000
1450,20141229T000000
1451,20141029T000000
1452,20141112T000000
1453,20141218T000000
1454,20140725T000000
1455,20150306T000000
1456,20141009T000000
1457,20150505T000000
1458,20141106T000000
1459,20140612T000000
1460,20140513T000000
1461,20150330T000000
1462,20150408T000000
1463,20141104T000000
1464,20140520T000000
1465,20150505T000000
1466,20150218T000000
1467,20141029T000000
1468,20141009T000000
1469,20140527T000000
1470,20150129T000000
1471,20141028T000000
1472,20140814T000000
1473,20150209T000000
1474,20140721T000000
1475,20140910T000000
1476,20141114T000000
1477,20141201T000000
1478,20140507T000000
1479,20140509T000000
1480,20150421T000000
1481,20140807T000000
1482,20150317T000000
1483,20140718T000000
1484,20141029T000000
1485,20141203T000000
1486,20141002T000000
1487,20141223T000000
1488,20141101T000000
1489,20140623T000000
1490,20140709T000000
1491,20140915T000000
1492,20140728T000000
1493,20140604T000000
1494,20140522T000000
1495,20141027T000000
1496,20141029T000000
1497,20141023T000000
1498,20140627T000000
